playername	month	year	traf
Joe%20Coleman	01	2010	10.000
Joe%20Coleman	01	2011	11.000
Joe%20Coleman	02	2006	0
Joe%20Coleman	02	2007	0
Joe%20Coleman	02	2008	13.000
Joe%20Coleman	02	2009	10.000
Joe%20Coleman	02	2010	10.000
Joe%20Coleman	02	2011	8.000
Joe%20Coleman	03	2006	0
Joe%20Coleman	03	2007	0
Joe%20Coleman	03	2008	11.000
Joe%20Coleman	03	2009	12.000
Joe%20Coleman	03	2010	13.000
Joe%20Coleman	03	2011	12.000
Joe%20Coleman	04	2006	0
Joe%20Coleman	04	2007	0
Joe%20Coleman	04	2008	15.000
Joe%20Coleman	04	2009	14.000
Joe%20Coleman	04	2010	14.000
Joe%20Coleman	04	2011	12.000
Joe%20Coleman	05	2006	0
Joe%20Coleman	05	2007	0
Joe%20Coleman	05	2008	15.000
Joe%20Coleman	05	2009	12.000
Joe%20Coleman	05	2010	19.000
Joe%20Coleman	05	2011	12.000
Joe%20Coleman	06	2006	0
Joe%20Coleman	06	2007	0
Joe%20Coleman	06	2008	16.000
Joe%20Coleman	06	2009	13.000
Joe%20Coleman	06	2010	8.000
Joe%20Coleman	06	2011	11.000
Joe%20Coleman	07	2006	0
Joe%20Coleman	07	2007	0
Joe%20Coleman	07	2008	14.000
Joe%20Coleman	07	2009	13.000
Joe%20Coleman	07	2010	12.000
Joe%20Coleman	07	2011	9.000
Joe%20Coleman	08	2006	0
Joe%20Coleman	08	2007	0
Joe%20Coleman	08	2008	14.000
Joe%20Coleman	08	2009	12.000
Joe%20Coleman	08	2010	21.000
Joe%20Coleman	08	2011	9.000
Joe%20Coleman	09	2006	0
Joe%20Coleman	09	2007	0
Joe%20Coleman	09	2008	13.000
Joe%20Coleman	09	2009	17.000
Joe%20Coleman	09	2010	14.000
Joe%20Coleman	09	2011	9.000
Joe%20Coleman	10	2006	0
Joe%20Coleman	10	2007	0
Joe%20Coleman	10	2008	15.000
Joe%20Coleman	10	2009	14.000
Joe%20Coleman	10	2010	12.000
Joe%20Coleman	10	2011	9.000
Joe%20Coleman	11	2006	0
Joe%20Coleman	11	2007	0
Joe%20Coleman	11	2008	12.000
Joe%20Coleman	11	2009	18.000
Joe%20Coleman	11	2010	11.000
Joe%20Coleman	11	2011	10.000
Joe%20Coleman	12	2006	0
Joe%20Coleman	12	2007	13.000
Joe%20Coleman	12	2008	13.000
Joe%20Coleman	12	2009	12.000
Joe%20Coleman	12	2010	12.000
Joe%20Coleman	12	2011	8.000
Don%20Aase	01	2006	0
Don%20Aase	01	2007	0
Don%20Aase	01	2008	14.000
Don%20Aase	01	2009	12.000
Don%20Aase	01	2010	16.000
Don%20Aase	01	2011	16.000
Don%20Aase	02	2006	0
Don%20Aase	02	2007	0
Don%20Aase	02	2008	13.000
Don%20Aase	02	2009	11.000
Don%20Aase	02	2010	14.000
Don%20Aase	02	2011	16.000
Don%20Aase	03	2006	0
Don%20Aase	03	2007	0
Don%20Aase	03	2008	13.000
Don%20Aase	03	2009	14.000
Don%20Aase	03	2010	24.000
Don%20Aase	03	2011	15.000
Don%20Aase	04	2006	0
Don%20Aase	04	2007	0
Don%20Aase	04	2008	14.000
Don%20Aase	04	2009	14.000
Don%20Aase	04	2010	26.000
Don%20Aase	04	2011	17.000
Don%20Aase	05	2006	0
Don%20Aase	05	2007	0
Don%20Aase	05	2008	17.000
Don%20Aase	05	2009	18.000
Don%20Aase	05	2010	26.000
Don%20Aase	05	2011	18.000
Don%20Aase	06	2006	0
Don%20Aase	06	2007	0
Don%20Aase	06	2008	14.000
Don%20Aase	06	2009	17.000
Don%20Aase	06	2010	17.000
Don%20Aase	06	2011	15.000
Don%20Aase	07	2006	0
Don%20Aase	07	2007	0
Don%20Aase	07	2008	14.000
Don%20Aase	07	2009	25.000
Don%20Aase	07	2010	17.000
Don%20Aase	07	2011	23.000
Don%20Aase	08	2006	0
Don%20Aase	08	2007	0
Don%20Aase	08	2008	16.000
Don%20Aase	08	2009	25.000
Don%20Aase	08	2010	25.000
Don%20Aase	08	2011	16.000
Don%20Aase	09	2006	0
Don%20Aase	09	2007	0
Don%20Aase	09	2008	16.000
Don%20Aase	09	2009	18.000
Don%20Aase	09	2010	26.000
Don%20Aase	09	2011	14.000
Don%20Aase	10	2006	0
Don%20Aase	10	2007	0
Don%20Aase	10	2008	15.000
Don%20Aase	10	2009	20.000
Don%20Aase	10	2010	19.000
Don%20Aase	10	2011	14.000
Don%20Aase	11	2006	0
Don%20Aase	11	2007	0
Don%20Aase	11	2008	11.000
Don%20Aase	11	2009	19.000
Don%20Aase	11	2010	18.000
Don%20Aase	11	2011	21.000
Don%20Aase	12	2006	0
Don%20Aase	12	2007	13.000
Don%20Aase	12	2008	13.000
Don%20Aase	12	2009	14.000
Don%20Aase	12	2010	15.000
Don%20Aase	12	2011	15.000
Ace%20Adams	01	2006	0
Ace%20Adams	01	2007	0
Ace%20Adams	01	2008	9.000
Ace%20Adams	01	2009	6.000
Ace%20Adams	01	2010	7.000
Ace%20Adams	01	2011	8.000
Ace%20Adams	02	2006	0
Ace%20Adams	02	2007	0
