Hank%20Aaron	12	2006	90699117
Hank%20Aaron	12	2007	173094974
Hank%20Aaron	12	2008	255028057
Hank%20Aaron	12	2009	328583155
Hank%20Aaron	12	2010	399769026
Hank%20Aaron	12	2011	463235729
Don%20Aase	12	2006	85314709
Don%20Aase	12	2007	168888842
Don%20Aase	12	2008	253214241
Don%20Aase	12	2009	328252739
Don%20Aase	12	2010	392724920
Don%20Aase	12	2011	433250011
Ace%20Adams	12	2006	67328512
Ace%20Adams	12	2007	154189173
Ace%20Adams	12	2008	249169543
Ace%20Adams	12	2009	313569186
Ace%20Adams	12	2010	395760537
Ace%20Adams	12	2011	461565386
Joe%20Adcock	12	2006	91193491
Joe%20Adcock	12	2007	168214542
Joe%20Adcock	12	2008	253157941
Joe%20Adcock	12	2009	303386008
Joe%20Adcock	12	2010	393145989
Joe%20Adcock	12	2011	442448080
Tommie%20Agee	12	2006	91179389
Tommie%20Agee	12	2007	174765146
Tommie%20Agee	12	2008	253158863
Tommie%20Agee	12	2009	328565851
Tommie%20Agee	12	2010	397780833
Tommie%20Agee	12	2011	462778665
Hank%20Aguirre	12	2006	60342609
Hank%20Aguirre	12	2007	171416558
Hank%20Aguirre	12	2008	241941173
Hank%20Aguirre	12	2009	322977118
Hank%20Aguirre	12	2010	393156458
Hank%20Aguirre	12	2011	433262550
Doyle%20Alexander	12	2006	87029481
Doyle%20Alexander	12	2007	163702645
Doyle%20Alexander	12	2008	234581772
Doyle%20Alexander	12	2009	322521702
Doyle%20Alexander	12	2010	393144944
Doyle%20Alexander	12	2011	440168785
Dick%20Allen	12	2006	90953597
Dick%20Allen	12	2007	168538780
Dick%20Allen	12	2008	254827376
Dick%20Allen	12	2009	328712377
Dick%20Allen	12	2010	399363263
Dick%20Allen	12	2011	457368453
Gene%20Alley	12	2006	72350322
Gene%20Alley	12	2007	164266278
Gene%20Alley	12	2008	237613567
Gene%20Alley	12	2009	315764040
Gene%20Alley	12	2010	399387460
Gene%20Alley	12	2011	433225032
Bob%20Allison	12	2006	81426592
Bob%20Allison	12	2007	166392228
Bob%20Allison	12	2008	234426957
Bob%20Allison	12	2009	302761954
Bob%20Allison	12	2010	393135501
Bob%20Allison	12	2011	459450505
Sandy%20Alomar	12	2006	40157186
Sandy%20Alomar	12	2007	159805636
Sandy%20Alomar	12	2008	227584798
Sandy%20Alomar	12	2009	297473305
Sandy%20Alomar	12	2010	362145601
Sandy%20Alomar	12	2011	362145601
Felipe%20Alou	12	2006	86488913
Felipe%20Alou	12	2007	169974189
Felipe%20Alou	12	2008	247623844
Felipe%20Alou	12	2009	325576406
Felipe%20Alou	12	2010	399379965
Felipe%20Alou	12	2011	460756894
Matty%20Alou	12	2006	84248954
Matty%20Alou	12	2007	171679149
Matty%20Alou	12	2008	250689212
Matty%20Alou	12	2009	313783168
Matty%20Alou	12	2010	399535304
Matty%20Alou	12	2011	460759132
George%20Altman	12	2006	86964694
George%20Altman	12	2007	163417030
George%20Altman	12	2008	253214277
George%20Altman	12	2009	266069995
George%20Altman	12	2010	399388639
George%20Altman	12	2011	442319861
Max%20Alvis	12	2006	48533562
Max%20Alvis	12	2007	163402416
Max%20Alvis	12	2008	238184626
Max%20Alvis	12	2009	314215987
Max%20Alvis	12	2010	399535588
Max%20Alvis	12	2011	461536819
Tommie%20Aaron	12	2006	87820395
Tommie%20Aaron	12	2007	173486151
Tommie%20Aaron	12	2008	242440325
Tommie%20Aaron	12	2009	319371847
Tommie%20Aaron	12	2010	393167201
Tommie%20Aaron	12	2011	450587881
Andy%20Abad	12	2006	87671483
Andy%20Abad	12	2007	170819788
Andy%20Abad	12	2008	253210412
Andy%20Abad	12	2009	327099880
Andy%20Abad	12	2010	399300425
Andy%20Abad	12	2011	462912278
John%20Abadie	12	2006	72678672
John%20Abadie	12	2007	150503571
John%20Abadie	12	2008	249848852
John%20Abadie	12	2009	305299861
John%20Abadie	12	2010	396864514
John%20Abadie	12	2011	461527296
Ed%20Abbaticchio	12	2006	69238226
Ed%20Abbaticchio	12	2007	174568462
Ed%20Abbaticchio	12	2008	250766686
Ed%20Abbaticchio	12	2009	315941518
Ed%20Abbaticchio	12	2010	397338547
Ed%20Abbaticchio	12	2011	461505369
Bert%20Abbey	12	2006	83954104
Bert%20Abbey	12	2007	158856234
Bert%20Abbey	12	2008	247913683
Bert%20Abbey	12	2009	298723011
Bert%20Abbey	12	2010	397142740
Bert%20Abbey	12	2011	460619291
Charlie%20Abbey	12	2006	0
Charlie%20Abbey	12	2007	0
Charlie%20Abbey	12	2008	0
Charlie%20Abbey	12	2009	0
Charlie%20Abbey	12	2010	397209947
Charlie%20Abbey	12	2011	448409902
Dan%20Abbott	12	2006	0
Dan%20Abbott	12	2007	169330086
Dan%20Abbott	12	2008	249042682
Dan%20Abbott	12	2009	289678213
Dan%20Abbott	12	2010	396148189
Dan%20Abbott	12	2011	461499046
Fred%20Abbott	12	2006	0
Fred%20Abbott	12	2007	150945761
Fred%20Abbott	12	2008	253421651
Fred%20Abbott	12	2009	305926636
Fred%20Abbott	12	2010	393190412
Fred%20Abbott	12	2011	435164010
Glenn%20Abbott	12	2006	89713274
Glenn%20Abbott	12	2007	168895045
Glenn%20Abbott	12	2008	249187395
Glenn%20Abbott	12	2009	327950356
Glenn%20Abbott	12	2010	399392838
Glenn%20Abbott	12	2011	435146887
Jeff%20Abbott	12	2006	83614269
Jeff%20Abbott	12	2007	172421342
Jeff%20Abbott	12	2008	247583837
Jeff%20Abbott	12	2009	322111169
Jeff%20Abbott	12	2010	399426636
